agency_name_lookup,ori,county,old_county_fips,new_county_fips
Western Connecticut State University Police       ,CT0019300,Fairfield,09001,09190
Weston Police Department                          ,CT0015700,Fairfield,09001,09190
Westport Police Department                        ,CT0015800,Fairfield,09001,09190
Wethersfield Police Department                    ,CT0015900,Hartford,09003,09110
Willimantic Police Department                     ,CT0016300,Windham,09015,09180
Wilton Police Department                          ,CT0016100,Fairfield,09001,09190
Winchester Police Department                      ,CT0016200,Litchfield,09005,09160
Windham                                           ,CT008SP00,Windham,09015,09180
Windsor Locks Police Department                   ,CT0016500,Hartford,09003,09110
Windsor Police Department                         ,CT0016400,Hartford,09003,09110
Wolcott Police Department                         ,CT0016600,New Haven,09009,09140
Woodbridge Police Department                      ,CT0016700,New Haven,09009,09170
Yale University                                   ,CT0016900,New Haven,09009,09170
